qid	text	label
100001	雅典娜我求求你别送了	1
100002	我去送了个人头，结果啥也没那到。	1
100003	我送人头给你们发育发育	1
100004	我送你爷爷们多好	1
100005	我送你一个黄金分割率。	0
100006	我现在非常想送人头。	1
100007	吕布你皮肤送给我吧	0
100008	一个个去送我能跟上？	1
100009	讼我鲁班的皮肤	0
100010	我觉得我能够送后羿，你越比我都能送。	1
100011	你这都能死你让我怎么演	1
100012	把我送死了是吧	1
100013	我都送了你们就下不信我杀了九个人。	1
100014	等我们死了，跑过去送。	1
100015	对面杀黄忠一次我送一次打吧	1
100016	我两下都被你送回家	1
100017	那我送了大哥璊。	1
100018	我颂你的了。	0
100019	我上午跟你一起送啊。	1
100020	踒方有一个送了十个人头	1
100021	你们多嵩点给后羿我就能杀了。	1
100022	妲己你抢我野干嘛会不会玩，快挂吧。	1
100023	我们送人头或者吸引他们就好了。	1
100024	前期都送成狗怪我	1
100025	安琪拉再送屻头的话，我就举报他。	1
100026	我没有送啊他。	0
100027	我送你上西天来玩吧。	1
100028	我不送你倒是送啊。	1
100029	开始你把吕布送起来，你让我咋打。	1
100030	我等你表演中路等你表演。	1
100031	快点咯，我们要上课了，挂机，不管我哈。	1
100032	你给我送三个人都和你打	1
100033	送了我俩一个单挑都打不过。	1
100034	我想送你管我呀。	1
100035	我愿意送几个就是几个和你有毛关	1
100036	慢慢送，反正我都输，习惯了。	1
100037	我遇到高渐离，这种饪我就想挂机。	1
100038	我这边队友挂机	1
100039	我来后羿挂机。	1
100040	是妹子，我就可以送给你不是就算了。	1
100041	让你往前顶你在泉水挂机，我真服了你。	1
100042	他妈被我干了他难过要送	1
100043	我怎么感觉我是来送人头的？	1
100044	你先送我几个人头，我不会帵他。	1
100045	我先送两条命。	1
100046	然后我就会送人头。	1
100047	对面的谁有钟馗能不能送我	0
100048	挂机我们4个照样赢	1
100049	打野别送我带你躺。	1
100050	没办法。安琪拉不开心演我们	1
100051	那你们玩了，我不送了。	1
100052	送我白虎可以不？	0
100053	你菛不跟我我就送	1
100054	你自己送死吧，说我找。	1
100055	有人演，我干嘛要好好玩	1
100056	百里守约我还没传送就死了	0
100057	儿子，我挂了	1
100058	那好吧，你看看我的技术你就在中路看表演。	1
100059	别抢野行不，信不信我送人头	1
100060	对面滴，要不我们送祝福上吧。	1
100061	我只知道你狄仁杰在打我的野我就挂机。	1
100062	别说我，你们总送	1
100063	看我今天能不能送二十个。	1
100064	你自己送六个还说我	1
100065	刚刚给我姐送东西来	0
100066	你椚就任我送吗？	1
100067	我送人头，有什么区别。	1
100068	我看你表演的。	1
100069	你强野，我挂基。	1
100070	我说你刮机不是我挂机。	1
100071	送毛，为了一个蓝，我都死了	1
100072	我求你们2别送了	1
100073	早知我也演	1
100074	那我应该开挂打?	1
100075	我有你送的多	1
100076	你能不能滚，别跟着我，要不我挂机。	1
100077	斡不知道你要单送干什么。	1
100078	队友全挂机我都遇到过	1
100079	我雯姐在这我哪里敢演。	1
100080	那我挂极你们	1
100081	我是演员能大四个？	1
100082	演我的经济还是很高	1
100083	踄投降，我要送了。	1
100084	我都想举报一直送我	1
100085	我们那个人是开了挂的吗。	1
100086	你们要演我无所谓，一颗星星而已。	1
100087	投你嘛，我看看你送了多少个了。	1
100088	把我的蓝鎿了送给人家。	1
100089	狂铁和我演戏我我没办法。	1
100090	我搞不懂是你再送还是法师坑	1
100091	你们送你们的我不团	1
100092	我送还能得兵线齿	1
100093	你在送我就觉得你是演员呐。	1
100094	排位送人头马被我曰	1
100095	我是不想打咱可以投没必要一个一个送吧。	1
100096	我方演员以上线	1
100097	刚才我挂机是网络卡着了	1
100098	捰先护送了一个。	1
100099	我挂机免得你们钠里BB可以了吧	1
100100	我是打回来多少你们颂多少啊。	1
100101	我们打大龙你们去送	1
100102	那么多人在那里我也送死啊。	1
100103	我的鲁班也很菜，我只能保证不送。	0
100104	你少送点我带你蛍	1
100105	我现在必须要把他送到医院，抢救他的生命	0
100106	送再送到十个我在认真打。	1
100107	天天让我送人头讼人头送人头，自己打吧。	1
100108	我容易送一血，别见谅。	1
100109	我都说了，我只会送。	1
100110	我把挂管咯	1
100111	我他娘的故意给你送人头的呀，都到你脸上来	1
100112	下路不支援我就开始送了	1
100113	我给你们表演一个平面以外。	1
100114	五秒挂机了，我不玩了，太坑了。	1
100115	我送了等一下你们很嚣张。	1
100116	给对面射手送了卧懑就不用完了来接着送。	1
100117	要是在抢人头，看着我他妈觉得送人头。	1
100118	难道我去送死啊。	1
100119	通俗磹来说我就是来送的	1
100120	说实话我橡戭就	1
100121	猴子你好有钱哪能送我个皮肤吗。	1
100122	我没送涴是被人家抓了。	1
100123	投了吧，我一会要挂机	1
100124	要是这局赢了，我送你们一个皮肤	1
100125	我又送死啦	1
100126	布哥哥送我几个人头呗。	1
100127	开始骂我殥	1
100128	再丢一个人头我开始送	1
100129	关羽你是在演我们吗。	1
100130	怎么每次都变成我去送	1
100131	你怪我人头拿多了我送两个就是	1
100132	我菜，你送了好多人头看不到？	1
100133	上路送给我。	1
100134	还送个大招给我。	1
100135	我可能要送了	1
100136	李琦我们去送人头。	1
100137	但是也不是说我要送的意思，只是说想战绩百	1
100138	我不挂机还能赢，我挂机也要你带不更舒服。	1
100139	跟你，你带着我送	1
100140	我都一点点血，咱们打打就上去送死。	1
100141	我的战绩是被别人渲下来的。	1
100142	谢谢你送我到安全区域。	0
100143	我控制他去送	1
100144	我要认真了别说我开挂	1
100145	我说他又一开始挂机怎么了？	1
100146	大乔你磅我送回去。	0
100147	再怂我们就赢了。	1
100148	你看我两个一起打他才挂吗，你都不打。	1
100149	谁帮偓干死对面露娜送皮肤。	0
100150	你二技能呢，不知道朳我送一下。	1
100151	我可以送你哦	0
100152	你们没出来窝去送？	1
100153	再不来帮我，我就送了。	1
100154	谢谢你送我的四个人头。	1
100155	我明明看不见皮肤的话你就挂了。	1
100156	看看墨子，我演？	1
100157	不点？那我送	1
100158	我在表演葫芦娃救爷爷。	1
100159	我想知道能送到一百吗	1
100160	李白你就不能早点来给我送五杀吗。	1
100161	打不打了，我只要送就好，ok啦。	1
100162	那你还能送握吗	0
100163	先挂机了有小姐姐找我	1
100164	我送四个	1
100165	你去挂机，我们四打五。	1
100166	你挂机就能赢，相信我。	1
100167	要不我们三个人挂机让她们两个人打	1
100168	我有点怀疑百里开挂。	1
100169	你在送下去我就要背锅了。	1
100170	没事，我只是个辅助他上来送一个人头。	1
100171	好啊，我可以送你皮肤。	0
100172	我上去送死才行吗。	1
100173	我送到10个就好了	1
100174	我就等你送我回去呢	1
100175	是吧。倭都送这么多，	1
100176	实力戭我	1
100177	你可把我演住了。	1
100178	还是我打野吧，曹操别去送了。	1
100179	王昭君给我滚，等一下YY送人头。	1
100180	我可挂了。	1
100181	露娜在吃我线我挂机	1
100182	你不是让我给你送人头吗。	1
100183	你们在送你让我怎么玩	1
100184	你们在做什么我上了你们挂机。？	1
100185	好我们挂机	1
100186	他不送我也要举报	1
100187	你送我一个我才不亏	1
100188	再打我就送不打了	1
100189	我送她回去。	1
100190	举报我。我是演员	1
100191	看见不有没有打你我送给你的。	1
100192	我都送这么多了你是不是男人	1
100193	对面的球让我翻一个挂机呀。	1
100194	那两个挂机，我帮你举报一下。	1
100195	我送尼玛归西	1
100196	我上去就是直接松呗。	1
100197	李白你好有钱啊，送我一个呗。	1
100198	你拿射手挂机，我也是醉了。	1
100199	辅助我别送了	1
100200	谁送了我是被秒掉了。	1
100201	伽罗新皮肤有没有人送我一个	0
100202	我抓你妹，你都送了那么多。	1
100203	我们曹操挂机了，你们快来罢。	1
100204	够吗不够我再送两个	1
100205	我们会谢谢你送给我一颗星星。	0
100206	给你打野吧，我挂机。	1
100207	我感觉你们才是送人头的。	1
100208	他都演我干嘛认真	1
100209	那你给我送个皮肤我就带你玩行不。	0
100210	开撯大去送人头，还说我。	1
100211	我送屻头去你们打吧	1
100212	你一直送我们经稷跟不上。	1
100213	下路都送成那样了，你还去下路我也是醉了。	1
100214	我当演榞。	1
100215	。。。是想我送？猴子？	1
100216	程咬金加虞姬演的比我好	1
100217	要布是我们有挂机呵呵	1
100218	马克渲我？	1
100219	我送了你不推。	1
100220	再送我个五杀吧	1
100221	红我已经拿出去怎么还不送	1
100222	你能不能冲点券送我。	1
100223	我送尼玛，你没死？	1
100224	你在打我野，我就一直送人头了。	1
100225	李白不挂机，我不出泉水。	1
100226	我儿子挂机写作业去了。不好意思	1
100227	这个好，光充钱。不买皮肤。都送我。我大号	0
100228	我挂机了，你们可以把我丢水晶	1
100229	有我们四个就可以了你可以去挂嵴了	1
100230	我不会再送人头了，拜拜。	1
100231	百里你再宋几个我就能举报你了	1
100232	阔不是我在送	1
100233	送个一血给我就行了。	1
100234	你这样吃我的线，你不怕我挂机吗。	1
100235	我我上不跟着我上我死了，然后你就淞。	1
100236	打个锤子，我挂机了，你们打。	1
100237	我才六年级我都不知道怎么开挂。	1
100238	我让你送d。？	1
100239	送的这次样子叫我抓人，我抓谁去？	1
100240	我已经做好送的准备了	1
100241	大乔大乔放大把我给送过去。	1
100242	反正沃也在演	1
100243	我要开挂了对不起	1
100244	窝的天还有挂机的	1
100245	对面我要送人头了。	1
100246	都是演员呐，我的妈呀。	1
100247	你说我你还不如说凯他挂机呢。	1
100248	一个一个送人头还排队，我要。	1
100249	出去一次给倭传送回去了一次。	1
100250	送，不送到一百，是我养的	1
100251	我打野抢野就送人头。	1
100252	我没兰也不送回家	1
100253	我看你是真的演。	1
100254	对面能不能给我送几个	1
100255	鮈报我方孙尚香她挂机，谢谢。	1
100256	你叫我打这两个不是叫我送死吗。	1
100257	呐我最差我人头都没送。	1
100258	我怎么去?你懑开局就送	1
100259	送的人头又不是我的	1
100260	在动蓝我就挂机。	1
100261	送几个人头来，我进	1
100262	呵呵！等会你们又说我送	1
100263	你信不信我去对面送。	1
100264	我怎么送両塥人头。	1
100265	我带飞你们送好么	1
100266	我就看后裔能怎么送	1
100267	你别拆渥给你多送两个。	1
100268	我们送？你打那个鸟怎么四季	1
100269	反正我不送人头就行。	1
100270	挂机我就不知道了，本来是其他人在用他这个	1
100271	送你妹啊我	1
100272	叫我别送辅助宝石都不出。	1
100273	就让你们看着我挂	1
